0,9338,0
1,8887,9338
2,15964,0
3,21881,8887
4,26315,0
5,23628,0
6,21492,0
7,20229,0
8,17200,15964
9,16643,0
10,16490,0
11,16122,0
12,16113,0
13,16119,21881
14,15676,0
15,14716,0
16,14066,0
17,13345,0
18,12522,0
19,11860,0
20,11332,26315
21,11023,0
22,11021,0
23,9918,0
24,9547,0
25,8917,0
26,8263,0
27,8012,23628
28,7529,0
29,7351,0
30,7030,0
31,6915,0
32,6804,21492
33,6796,0
34,6472,0
35,6235,0
36,5963,0
37,5804,0
38,5320,20229
39,5507,0
40,5136,0
41,5144,0
42,5029,17200
43,5072,0
44,4949,0
45,5164,0
46,5342,16643
47,5306,0
48,5356,0
49,5376,0
50,5426,0
51,5302,16490
52,5353,0
53,5256,0
54,5616,0
55,5415,16122
56,5009,0
57,5143,0
58,5783,0
59,6097,16113
60,5443,0
61,6084,0
62,6815,0
63,7372,0
64,7397,16119
65,6500,0
66,5462,0
67,4760,0
68,4450,15676
69,4401,0
70,4206,0
71,4367,0
72,4047,14716
73,3863,0
74,3932,0
75,3799,14066
76,3944,0
77,3795,0
78,3899,0
79,3800,13345
80,3864,0
81,3980,0
82,4017,12522
83,3945,0
84,4153,0
85,4251,11860
86,4189,0
87,4428,0
88,4531,11332
89,4581,0
90,4654,0
91,4595,11023
92,4850,0
93,4670,0
94,4788,11021
95,4609,0
96,4841,0
97,4719,9918
98,4582,0
99,4530,9547
100,4354,0
101,4094,0
102,3815,8917
103,3711,0
104,3681,8263
105,3469,0
106,3307,8012
107,3250,0
108,3211,7529
109,3114,0
110,2996,7351
111,2958,0
112,2854,7030
113,2804,6915
114,2736,0
115,2703,6804
116,2699,0
117,2618,6796
118,2482,0
119,2433,6472
120,2280,6235
121,2249,0
122,2175,5963
123,2059,5804
124,1910,0
125,1888,5320
126,1686,5507
127,1560,0
128,1497,5136
129,1345,5144
130,1300,5029
131,1187,0
132,1112,5072
133,1152,4949
134,1003,5164
135,1039,0
136,989,5342
137,939,5306
138,871,0
139,922,5356
140,914,5376
141,830,5426
142,843,0
143,844,5302
144,803,5353
145,781,0
146,778,5256
147,779,5616
148,789,0
149,803,5415
150,827,5009
151,891,5143
152,874,0
153,864,5783
154,872,6097
155,939,0
156,994,5443
157,1025,6084
158,1080,0
159,1253,6815
160,1359,0
161,1738,7372
162,2112,0
163,2321,7397
164,2696,0
165,2930,6500
166,2747,5462
167,2534,0
168,1672,4760
169,1659,4450
170,1919,4401
171,1914,4206
172,1854,4367
173,1692,4047
174,1628,3863
175,1564,3932
176,1614,3799
177,1292,3944
178,1249,3795
179,1226,3899
180,1213,3800
181,1268,3864
182,1236,3980
183,1318,4017
184,1263,3945
185,1084,0
186,1005,4153
187,932,4251
188,863,4189
189,803,4428
190,636,4531
191,550,4581
192,432,0
193,442,4654
194,348,4595
195,322,4850
196,311,4670
197,285,0
198,288,4788
199,250,4609
200,236,4841
201,249,4719
202,261,0
203,277,4582
204,221,4530
205,219,4354
206,208,4094
207,150,3815
208,152,3711
209,156,3681
210,150,3469
211,170,3307
212,201,6461
213,173,3114
214,197,2996
215,196,2958
216,236,5658
217,264,2736
218,251,5402
219,255,2618
220,289,4915
221,342,2280
222,333,4424
223,381,3969
224,573,3574
225,595,4402
226,940,3599
227,1215,4183
228,2548,3646
229,2928,4101
230,2546,3149
231,1039,4328
232,628,4038
233,542,2612
234,529,3850
235,392,2321
236,370,5626
237,292,2747
238,274,4206
239,176,3578
240,164,3768
241,110,4884
242,84,4155
243,50,3707
244,64,3817
245,59,3884
246,43,3844
247,63,3843
248,45,3715
249,45,2155
250,22,5476
251,30,3585
252,42,4038
253,14,143
254,78,0
255,65,0
